"datetime","stream_height_ft","date"
2019-05-07 21:33:30,0.123265506470326,2019-05-07
2019-05-07 23:27:14,0.123984828201696,2019-05-07
2019-05-07 23:48:26,0.119994645247657,2019-05-07
2019-05-07 23:59:59,0.118000892458724,2019-05-07
2019-05-08 00:00:00,0.116778523489933,2019-05-08
2019-05-08 00:30:10,0.116107382550336,2019-05-08
2019-05-08 03:29:10,0.116107382550336,2019-05-08
2019-05-08 06:30:10,0.114093959731544,2019-05-08
2019-05-08 09:29:10,0.112751677852349,2019-05-08
2019-05-08 12:30:10,0.112751677852349,2019-05-08
2019-05-08 15:25:08,0.112080536912752,2019-05-08
2019-05-08 18:30:10,0.110738255033557,2019-05-08
2019-05-08 20:16:46,0.110738255033557,2019-05-08
2019-05-08 21:27:09,0.114093959731544,2019-05-08
2019-05-08 21:59:20,0.115436241610738,2019-05-08
2019-05-08 22:21:27,0.120805369127517,2019-05-08
2019-05-08 23:59:59,0.120805369127517,2019-05-08
2019-05-09 00:00:00,0.120133664382922,2019-05-09
2019-05-09 03:27:50,0.122438254895738,2019-05-09
2019-05-09 03:41:52,0.121786734370041,2019-05-09
2019-05-09 03:53:48,0.125830268635541,2019-05-09
2019-05-09 06:30:02,0.125377564545336,2019-05-09
2019-05-09 09:26:16,0.125623984916086,2019-05-09
2019-05-09 12:30:32,0.125210484066683,2019-05-09
2019-05-09 12:46:32,0.126575130210764,2019-05-09
2019-05-09 13:28:35,0.126633935071966,2019-05-09
2019-05-09 13:46:35,0.128001381447533,2019-05-09
2019-05-09 15:26:43,0.128141393021823,2019-05-09
2019-05-09 18:25:00,0.127048369331865,2019-05-09
2019-05-09 21:29:15,0.127305990628559,2019-05-09
2019-05-09 23:59:59,0.126842085612411,2019-05-09
2019-05-10 00:00:00,0.126665240999702,2019-05-10
2019-05-10 03:33:56,0.125900959535852,2019-05-10
2019-05-10 06:28:38,0.125153414162452,2019-05-10
2019-05-10 09:31:20,0.123735495388277,2019-05-10
2019-05-10 12:30:03,0.122986090449271,2019-05-10
2019-05-10 15:34:45,0.121567241892294,2019-05-10
2019-05-10 18:31:26,0.120152112466528,2019-05-10
2019-05-10 23:59:59,0.118667249330556,2019-05-10
2019-05-11 00:00:00,0.11959797574284,2019-05-11
2019-05-11 03:24:30,0.117955387181589,2019-05-11
2019-05-11 06:25:16,0.117025246671002,2019-05-11
2019-05-11 09:28:04,0.114740889429193,2019-05-11
2019-05-11 12:28:51,0.113810748918606,2019-05-11
2019-05-11 15:25:35,0.113561957535834,2019-05-11
2019-05-11 18:30:25,0.110599078341014,2019-05-11
2019-05-11 21:27:12,0.108323202623618,2019-05-11
2019-05-11 23:59:59,0.108108337338498,2019-05-11
2019-05-12 00:00:00,0.108050657081882,2019-05-12
2019-05-12 03:30:43,0.108348309558576,2019-05-12
2019-05-12 06:15:24,0.108578569021678,2019-05-12
2019-05-12 06:31:30,0.106587667078513,2019-05-12
2019-05-12 07:59:54,0.104697854655734,2019-05-12
2019-05-12 09:26:16,0.104818600471751,2019-05-12
2019-05-12 12:27:01,0.104400202179041,2019-05-12
2019-05-12 15:27:48,0.103310681792654,2019-05-12
2019-05-12 18:28:34,0.102892283499944,2019-05-12
2019-05-12 21:31:21,0.101134449062114,2019-05-12
2019-05-12 23:59:59,0.100668314051443,2019-05-12
2019-05-13 00:00:00,0.0993333581270804,2019-05-13
2019-05-13 03:28:53,0.0997201405805457,2019-05-13
2019-05-13 06:27:40,0.0973845696115441,2019-05-13
2019-05-13 09:30:27,0.0963897205124868,2019-05-13
2019-05-13 12:31:13,0.0960577942242967,2019-05-13
2019-05-13 15:29:58,0.0957221488740541,2019-05-13
2019-05-13 18:26:44,0.0940495007159196,2019-05-13
